Abscissa	Profile 1
x	y
[]	[]
0	10.299783
0.99841482	10.309803
1.9968296	10.302729
2.9952444	10.327359
3.9936593	10.345217
4.9920741	10.425261
5.9904889	10.269138
6.9889037	10.078206
7.9873185	9.7911076
8.9857333	9.1666471
9.9841482	8.9336139
10.982563	9.0001214
11.980978	9.0292435
12.979393	9.0953878
13.977807	8.8668423
14.976222	8.2500257
15.974637	7.9229763
16.973052	8.0040297
17.971467	8.0031345
18.969881	7.974199
19.968296	7.9745875
20.966711	7.9129161
21.965126	8.5434202
22.963541	8.6515562
23.961956	8.0610301
24.96037	8.1129144
25.958785	7.9700291
26.9572	8.5385776
27.955615	9.0819398
28.95403	8.9977875
29.952444	8.9460369
30.950859	9.3473189
31.949274	10.437761
32.947689	10.989224
33.946104	11.369579
34.944519	12.434053
35.942933	13.384306
36.941348	14.887301
37.939763	16.552133
38.938178	17.502953
39.936593	18.504371
40.935007	19.502305
41.933422	21.070706
42.931837	23.213304
43.930252	24.77914
44.928667	25.401446
45.927082	25.595524
46.925496	25.740448
47.923911	25.79983
48.922326	25.799361
49.920741	25.242757
50.919156	24.169199
51.91757	23.220163
52.915985	21.834834
53.9144	19.716269
54.912815	17.81557
55.91123	16.389805
56.909644	14.706822
57.908059	13.085124
58.906474	11.695375
59.904889	10.195334
60.903304	9.6211939
61.901719	8.7012133
62.900133	8.282954
63.898548	8.5611982
64.896963	9.1377522
65.895378	9.8418494
66.893793	11.274835
67.892207	12.391222
68.890622	14.026781
69.889037	16.649922
70.887452	18.967791
71.885867	21.588454
72.884282	23.474349
73.882696	25.34615
74.881111	27.500277
75.879526	29.110241
76.877941	29.96432
77.876356	31.109296
78.87477	31.833213
79.873185	31.829218
80.8716	31.486706
81.870015	30.517416
82.86843	29.587713
83.866844	28.709533
84.865259	27.423402
85.863674	25.45178
86.862089	23.09065
87.860504	20.860811
88.858919	19.65365
89.857333	17.515756
90.855748	16.286879
91.854163	15.662362
92.852578	13.865445
93.850993	12.918795
94.849407	12.228434
95.847822	11.847351
96.846237	11.181969
97.844652	11.041812
98.843067	11.094758
99.841482	10.815505
