Abscissa	Profile 1
x	y
[]	[]
0	25.906303
0.99983266	26.069079
1.9996653	26.838493
2.999498	27.228093
3.9993307	27.931168
4.9991633	28.234332
5.998996	28.856205
6.9988286	29.922959
7.9986613	30.323661
8.998494	30.233121
9.9983266	30.971898
10.998159	32.049956
11.997992	32.397969
12.997825	33.263076
13.997657	33.406634
14.99749	33.387682
15.997323	34.220881
16.997155	33.616901
17.996988	33.292814
18.996821	33.273554
19.996653	32.480916
20.996486	31.529821
21.996319	29.63085
22.996151	28.964998
23.995984	28.284046
24.995817	27.121626
25.995649	26.160841
26.995482	25.20382
27.995315	24.118064
28.995147	23.692219
29.99498	23.797281
30.994813	23.013713
31.994645	22.592767
32.994478	22.00057
33.994311	20.905344
34.994143	19.796637
35.993976	18.759141
36.993809	17.85664
37.993641	17.528261
38.993474	15.977135
39.993307	15.368856
40.993139	14.579686
41.992972	14.24683
42.992805	13.47467
43.992637	12.47383
44.99247	12.252247
45.992303	12.362532
46.992135	11.615016
47.991968	12.072167
48.991801	12.349028
49.991633	12.298702
50.991466	12.420393
51.991299	12.533848
52.991131	13.277282
53.990964	13.472612
54.990797	14.210931
55.990629	14.519642
56.990462	14.542455
57.990295	15.229434
58.990127	16.326378
59.98996	16.523493
60.989793	17.273627
61.989625	17.666675
62.989458	18.392479
63.98929	19.515183
64.989123	19.714662
65.988956	22.007351
66.988788	23.08638
67.988621	24.260009
68.988454	25.724644
69.988286	27.656769
70.988119	28.864489
71.987952	30.634062
72.987784	31.947233
73.987617	32.968543
74.98745	34.918379
75.987282	35.399166
76.987115	36.063209
77.986948	36.449997
78.98678	37.847823
79.986613	38.388278
80.986446	37.698414
81.986278	38.244593
82.986111	37.786215
83.985944	38.116567
84.985776	38.49064
85.985609	38.477042
86.985442	38.431906
87.985274	38.54519
88.985107	38.530354
89.98494	37.788205
90.984772	37.38894
91.984605	37.378228
92.984438	37.466599
93.98427	36.683476
94.984103	36.34573
95.983936	34.902561
96.983768	33.404414
97.983601	33.13972
98.983434	31.701533
99.983266	30.449706
100.9831	28.522454
101.98293	27.946505
102.98276	27.279349
