Abscissa	Profile 1
x	y
[]	[]
0	8.9852844
0.99980473	8.9802122
1.9996095	9.3954449
2.9994142	10.093709
3.9992189	10.037801
4.9990236	10.032969
5.9988284	10.391871
6.9986331	11.078996
7.9984378	11.06226
8.9982425	11.154952
9.9980473	11.374889
10.997852	12.133003
11.997657	12.16454
12.997461	12.418091
13.997266	13.183468
14.997071	13.266966
15.996876	13.231699
16.99668	13.212787
17.996485	13.193268
18.99629	13.140354
19.996095	13.453046
20.995899	14.299737
21.995704	14.160616
22.995509	14.20483
23.995313	14.605126
24.995118	15.285471
25.994923	15.236111
26.994728	15.236111
27.994532	15.236111
28.994337	15.236111
29.994142	15.228631
30.993946	15.289336
31.993751	15.371324
32.993556	15.271635
33.993361	15.431964
34.993165	15.368747
35.99297	15.225968
36.992775	15.236111
37.99258	15.272205
38.992384	15.013921
39.992189	14.342825
40.991994	14.357671
41.991798	14.198811
42.991603	14.274481
43.991408	14.253797
44.991213	13.861037
45.991017	13.174265
46.990822	12.850183
47.990627	12.157406
48.990432	12.214078
49.990236	11.80589
50.990041	11.113232
51.989846	11.182391
52.98965	10.809958
53.989455	10.10709
54.98926	10.113148
55.989065	10.025398
56.988869	9.8007376
57.988674	9.087054
58.988479	8.989938
59.988284	9
60.988088	9
61.987893	8.9982535
62.987698	9.0123648
63.987502	9.0342189
64.987307	8.9958662
65.987112	9.0123359
66.986917	9.0325008
67.986721	9.0099287
68.986526	9.0342572
69.986331	8.9987195
70.986136	8.9848865
71.98594	8.9871224
72.985745	9.4060186
73.98555	10.073156
74.985354	10.042893
75.985159	10.137928
76.984964	10.415425
77.984769	11.232121
78.984573	11.439694
79.984378	12.317272
80.984183	12.291288
81.983988	12.806409
82.983792	14.309076
83.983597	14.465054
84.983402	15.31502
85.983206	15.483477
86.983011	16.559355
87.982816	17.16982
88.982621	17.568066
89.982425	18.038631
90.98223	17.800734
91.982035	19.44951
92.981839	19.424869
93.981644	19.700805
94.981449	20.513591
95.981254	20.407139
96.981058	20.690307
97.980863	21.548421
98.980668	21.419691
99.980473	21.659469
100.98028	22.412269
101.98008	22.473378
