Abscissa	Profile 1
x	y
[]	[]
0	14.676945
1.0002729	14.582448
2.0005458	14.577569
3.0008187	14.434346
4.0010916	14.303033
5.0013646	14.143216
6.0016375	13.855025
7.0019104	13.686337
8.0021833	13.523139
9.0024562	13.232786
10.002729	13.206525
11.003002	13.033766
12.003275	12.843938
13.003548	12.717301
14.003821	12.665678
15.004094	12.642605
16.004367	12.765683
17.00464	12.785144
18.004912	13.040388
19.005185	13.28303
20.005458	13.453793
21.005731	13.552517
22.006004	13.841357
23.006277	13.751005
24.00655	14.158395
25.006823	14.374372
26.007096	14.595622
27.007369	14.876317
28.007642	14.977109
29.007914	15.083466
30.008187	15.157186
31.00846	15.163932
32.008733	15.35084
33.009006	15.321151
34.009279	15.120058
35.009552	14.943652
36.009825	14.745529
37.010098	14.849683
38.010371	14.627455
39.010644	14.262108
40.010916	14.102917
41.011189	14.008493
42.011462	13.697839
43.011735	13.713358
44.012008	13.693397
45.012281	13.552451
46.012554	13.69297
47.012827	13.867214
48.0131	13.845438
49.013373	14.010946
50.013646	14.142045
51.013919	14.302034
52.014191	14.76133
53.014464	15.170076
54.014737	15.257483
55.01501	15.490687
56.015283	15.631588
57.015556	15.972626
58.015829	16.274398
59.016102	16.34089
60.016375	16.393653
61.016648	16.62012
62.016921	16.651212
63.017193	16.619146
64.017466	16.400592
65.017739	16.188471
66.018012	16.097331
67.018285	15.84347
68.018558	15.590391
69.018831	15.412669
70.019104	15.066392
71.019377	14.816879
72.01965	14.578281
73.019923	14.286114
74.020196	14.158838
75.020468	13.824038
76.020741	13.666454
77.021014	13.680918
78.021287	13.748342
79.02156	13.830733
80.021833	13.862471
81.022106	13.889917
82.022379	14.180305
83.022652	14.577239
84.022925	14.629536
85.023198	14.983049
86.02347	15.389925
87.023743	15.705677
88.024016	15.98857
89.024289	16.167548
90.024562	16.344066
91.024835	16.598581
92.025108	16.716509
93.025381	16.776045
94.025654	16.684197
95.025927	16.510039
96.0262	16.532505
97.026472	16.149731
98.026745	16.024186
99.027018	15.807005
100.02729	15.257978
101.02756	14.871634
102.02784	14.475461
103.02811	14.269619
