Abscissa	Profile 1
x	y
[]	[]
0	15.951232
1.000178	16.138469
2.000356	16.259287
3.000534	16.350923
4.0007119	16.541786
5.0008899	16.883228
6.0010679	17.111705
7.0012459	16.938993
8.0014239	17.043799
9.0016019	17.186309
10.00178	17.248411
11.001958	17.295189
12.002136	17.132719
13.002314	17.127715
14.002492	16.924527
15.00267	16.884957
16.002848	16.586058
17.003026	16.309425
18.003204	15.961063
19.003382	15.900546
20.00356	15.601236
21.003738	15.409404
22.003916	15.091307
23.004094	14.691414
24.004272	14.422898
25.00445	14.32467
26.004628	14.129613
27.004806	13.858851
28.004984	13.686805
29.005162	13.660746
30.00534	13.53656
31.005517	13.492527
32.005695	13.450831
33.005873	13.399955
34.006051	13.45103
35.006229	13.520887
36.006407	13.455243
37.006585	13.575444
38.006763	13.451803
39.006941	13.411097
40.007119	13.393662
41.007297	13.437031
42.007475	13.445291
43.007653	13.467563
44.007831	13.516343
45.008009	13.587519
46.008187	13.447117
47.008365	13.777603
48.008543	13.968232
49.008721	14.164819
50.008899	14.220215
51.009077	14.432602
52.009255	14.679251
53.009433	14.903725
54.009611	15.122508
55.009789	15.355021
56.009967	15.625239
57.010145	15.880973
58.010323	16.191381
59.010501	16.29775
60.010679	16.504566
61.010857	16.550446
62.011035	16.701036
63.011213	16.746011
64.011391	17.140753
65.011569	16.98912
66.011747	16.740352
67.011925	16.586376
68.012103	16.609355
69.012281	16.471689
70.012459	16.310875
71.012637	16.219684
72.012815	15.967626
73.012993	15.752965
74.013171	15.600846
75.013349	15.318329
76.013527	15.196764
77.013705	15.139884
78.013883	14.95838
79.014061	14.963893
80.014239	14.860779
81.014417	14.979187
82.014595	14.946955
83.014773	15.078581
84.014951	15.262885
85.015129	15.54923
86.015307	15.721794
87.015485	15.899675
88.015663	16.125636
89.015841	16.382561
90.016019	16.563569
91.016196	16.973544
92.016374	17.203981
93.016552	17.609744
94.01673	17.808
95.016908	18.155986
96.017086	18.432351
97.017264	18.746441
98.017442	19.00287
99.01762	19.2635
100.0178	19.766345
101.01798	20.122356
102.01815	20.040358
103.01833	20.465272
