Abscissa	Profile 1
x	y
[]	[]
0	14.044704
1.0001849	14.068119
2.0003698	13.901077
3.0005547	13.85977
4.0007396	13.697105
5.0009245	13.542038
6.0011094	13.518011
7.0012943	13.577394
8.0014792	13.573405
9.001664	13.683722
10.001849	13.752255
11.002034	13.80045
12.002219	14.01
13.002404	14.229762
14.002589	14.327517
15.002773	14.483511
16.002958	14.625274
17.003143	14.963144
18.003328	15.244027
19.003513	15.510209
20.003698	15.562621
21.003883	15.934104
22.004068	16.139169
23.004253	16.247915
24.004437	16.378437
25.004622	16.756564
26.004807	16.890862
27.004992	17.177642
28.005177	17.330755
29.005362	17.677546
30.005547	18.209315
31.005732	18.210144
32.005917	18.503697
33.006102	18.745082
34.006286	19.015706
35.006471	19.336881
36.006656	19.69489
37.006841	19.912366
38.007026	20.299567
39.007211	20.798196
40.007396	20.920805
41.007581	21.201875
42.007766	21.41785
43.00795	21.874266
44.008135	22.105051
45.00832	22.195385
46.008505	22.110363
47.00869	22.376773
48.008875	22.570999
49.00906	22.584488
50.009245	22.328102
51.00943	22.192361
52.009614	22.120824
53.009799	21.850028
54.009984	21.452126
55.010169	21.073129
56.010354	20.926056
57.010539	20.373152
58.010724	20.018629
59.010909	19.712223
60.011094	19.203975
61.011279	18.647527
62.011463	18.185661
63.011648	17.932105
64.011833	17.551876
65.012018	17.278046
66.012203	16.905466
67.012388	16.762773
68.012573	16.378862
69.012758	16.354058
70.012943	16.370361
71.013127	16.291614
72.013312	16.625421
73.013497	16.656422
74.013682	16.824751
75.013867	17.175832
76.014052	17.532291
77.014237	18.216666
78.014422	18.785119
79.014607	19.441517
80.014792	20.383745
81.014976	21.440337
82.015161	22.584344
83.015346	23.811955
84.015531	25.634094
85.015716	27.516744
86.015901	29.372476
87.016086	31.47312
88.016271	33.866622
89.016456	36.464456
90.01664	39.835129
91.016825	42.953683
92.01701	46.40838
93.017195	49.938513
94.01738	54.349217
95.017565	58.540059
96.01775	63.079592
97.017935	67.676886
98.01812	72.635599
99.018305	77.999684
100.01849	83.822444
101.01867	89.833401
102.01886	96.207724
103.01904	102.34739
