Abscissa	Profile 1
x	y
[]	[]
0	24.25205
1.000524	24.554424
2.0010481	24.877777
3.0015721	24.889786
4.0020962	25.454401
5.0026202	25.850968
6.0031443	26.084119
7.0036683	26.071196
8.0041924	26.541533
9.0047164	26.682834
10.00524	27.170887
11.005765	27.85517
12.006289	28.044028
13.006813	28.3483
14.007337	28.749728
15.007861	29.227301
16.008385	29.481518
17.008909	29.502473
18.009433	29.690965
19.009957	30.063677
20.010481	30.657643
21.011005	30.787715
22.011529	30.864103
23.012053	31.152378
24.012577	31.292012
25.013101	31.197337
26.013625	31.131687
27.014149	31.299106
28.014673	31.524897
29.015197	31.775485
30.015721	31.910795
31.016246	31.911053
32.01677	31.768914
33.017294	31.953233
34.017818	31.725821
35.018342	31.747014
36.018866	31.785069
37.01939	32.098439
38.019914	31.799774
39.020438	31.85977
40.020962	31.497606
41.021486	31.542694
42.02201	31.504151
43.022534	31.518486
44.023058	31.420023
45.023582	31.372801
46.024106	31.008383
47.02463	31.03321
48.025154	30.935527
49.025678	31.037349
50.026202	31.014162
51.026727	30.644433
52.027251	30.752509
53.027775	30.449681
54.028299	30.258874
55.028823	30.250794
56.029347	30.515637
57.029871	30.122767
58.030395	29.957955
59.030919	29.944258
60.031443	29.870575
61.031967	29.662463
62.032491	29.623643
63.033015	29.395411
64.033539	29.390202
65.034063	29.432594
66.034587	29.594479
67.035111	29.47133
68.035635	29.193128
69.036159	29.211036
70.036683	29.134015
71.037207	29.185118
72.037732	29.101763
73.038256	29.030785
74.03878	28.801115
75.039304	28.804187
76.039828	28.835169
77.040352	28.856948
78.040876	28.659028
79.0414	28.672792
80.041924	28.597689
81.042448	28.493304
82.042972	28.54805
83.043496	28.661523
84.04402	28.783277
85.044544	28.819383
86.045068	28.831667
87.045592	28.842762
88.046116	28.755537
89.04664	29.006872
90.047164	29.231187
91.047688	29.345764
92.048213	29.350941
93.048737	29.804966
94.049261	30.109054
95.049785	30.320313
96.050309	30.744621
97.050833	31.158381
98.051357	31.48358
99.051881	32.098217
100.0524	32.7574
101.05293	32.791352
102.05345	33.250904
103.05398	33.809882
