Abscissa	Profile 1
x	y
[]	[]
0	15.255851
1.0002344	14.857643
2.0004688	14.28706
3.0007032	13.882222
4.0009376	13.88338
5.0011721	13.631597
6.0014065	13.787435
7.0016409	14.089595
8.0018753	14.420056
9.0021097	14.695145
10.002344	14.964192
11.002579	15.381604
12.002813	15.891877
13.003047	16.264785
14.003282	16.526451
15.003516	16.740163
16.003751	16.738332
17.003985	16.896393
18.004219	17.133965
19.004454	17.282095
20.004688	17.453938
21.004923	17.844174
22.005157	17.87283
23.005391	17.713906
24.005626	17.643594
25.00586	17.400053
26.006095	17.040034
27.006329	16.654802
28.006563	16.291954
29.006798	16.00387
30.007032	15.621105
31.007267	15.281021
32.007501	14.784385
33.007736	14.348466
34.00797	13.87283
35.008204	13.46724
36.008439	13.119141
37.008673	12.768494
38.008908	12.626171
39.009142	12.621842
40.009376	12.592118
41.009611	12.642096
42.009845	13.10088
43.01008	13.818642
44.010314	14.727995
45.010548	15.651431
46.010783	16.478454
47.011017	17.323254
48.011252	18.023607
49.011486	18.732246
50.011721	19.072439
51.011955	19.499668
52.012189	20.030289
53.012424	20.414935
54.012658	20.391734
55.012893	20.467894
56.013127	20.331664
57.013361	19.999415
58.013596	19.520783
59.01383	19.061235
60.014065	18.426119
61.014299	17.710205
62.014533	16.721308
63.014768	15.646212
64.015002	14.499464
65.015237	13.308907
66.015471	12.258891
67.015706	11.513661
68.01594	11.05325
69.016174	10.989285
70.016409	11.054422
71.016643	11.098316
72.016878	11.415379
73.017112	12.402204
74.017346	14.177831
75.017581	17.074601
76.017815	21.960103
77.01805	28.387692
78.018284	36.89101
79.018518	47.872382
80.018753	61.310261
81.018987	77.410675
82.019222	96.352299
83.019456	116.58543
84.01969	139.86873
85.019925	164.33224
86.020159	191.71825
87.020394	221.33801
88.020628	251.62669
89.020863	282.40615
90.021097	312.71911
91.021331	340.34544
92.021566	365.95659
93.0218	393.26323
94.022035	422.85929
95.022269	455.98243
96.022503	494.51197
97.022738	542.40239
98.022972	600.22068
99.023207	665.88425
100.02344	736.26815
101.02368	810.16256
102.02391	882.45735
103.02414	947.27894
