Abscissa	Profile 1
x	y
[]	[]
0	11.680811
1	11.72866
2	11.743347
3	11.674935
4	11.727903
5	11.670469
6	11.626763
7	11.668308
8	11.74729
9	11.711079
10	11.643101
11	11.643223
12	11.666756
13	11.669733
14	11.690985
15	11.791576
16	11.803207
17	11.799841
18	11.870193
19	11.940296
20	11.929901
21	12.019582
22	12.066677
23	12.134489
24	12.317694
25	12.270081
26	12.206383
27	12.297233
28	12.412563
29	12.605736
30	12.550722
31	12.579199
32	12.73559
33	12.765389
34	12.679728
35	12.606159
36	12.662403
37	12.634035
38	12.593262
39	12.504061
40	12.503052
41	12.442944
42	12.379928
43	12.360877
44	12.324307
45	12.330013
46	12.407511
47	12.309735
48	12.168214
49	12.280726
50	12.433758
51	12.506604
52	12.37841
53	12.488308
54	12.736807
55	12.689098
56	12.770472
57	12.967819
58	13.057732
59	13.184916
60	13.233631
61	13.251053
62	13.415716
63	13.518061
64	13.587359
65	13.651218
66	13.584368
67	13.580331
68	13.690215
69	13.677117
70	13.51117
71	13.450735
72	13.442169
73	13.336587
74	13.082714
75	12.819104
76	12.706304
77	12.744275
78	12.680028
79	12.550255
80	12.474745
81	12.408128
82	12.469035
83	12.543292
84	12.546011
85	12.720867
86	12.883179
87	13.039005
88	13.350048
89	13.590635
90	13.868675
91	14.224161
92	14.603431
93	14.970692
94	15.290446
95	15.625997
96	15.720726
97	15.854449
98	16.198682
99	16.267025
100	16.218793
101	16.256926
102	16.277116
103	16.20218
104	15.938714
105	15.64247
106	15.45893
107	15.056853
108	14.62734
109	14.367158
110	14.208392
111	14.164502
112	14.194865
113	14.339665
114	14.709076
115	15.53738
116	16.672715
117	18.032789
118	19.819528
119	22.190666
120	25.136112
121	28.834706
122	33.103296
123	37.99352
124	43.716588
125	50.269651
126	57.870673
127	66.447539
128	75.618987
129	86.152603
130	97.933216
131	110.15899
132	123.19554
133	137.0942
134	152.37265
135	168.9047
136	185.61621
137	202.42052
138	221.32555
139	241.08302
140	259.81507
141	279.52606
142	299.35214
143	319.34723
144	339.96525
145	359.25242
146	378.0911
147	398.47026
148	416.945
149	434.62184
