Abscissa	Profile 1
x	y
[]	[]
0	12.578911
1	12.619138
2	12.597185
3	12.668194
4	12.631421
5	12.63197
6	12.866174
7	12.908118
8	12.970752
9	13.063979
10	13.264716
11	13.199465
12	13.310922
13	13.462983
14	13.502181
15	13.727211
16	13.79531
17	14.003432
18	14.119503
19	14.132496
20	14.266967
21	14.505033
22	14.485599
23	14.640035
24	14.757194
25	14.83688
26	14.940158
27	15.098203
28	15.263161
29	15.251759
30	15.297682
31	15.302529
32	15.46898
33	15.587958
34	15.37855
35	15.27605
36	15.296418
37	15.309381
38	15.065402
39	15.044141
40	14.838524
41	14.829376
42	14.81798
43	14.61781
44	14.372408
45	14.29334
46	14.28348
47	14.378798
48	14.486666
49	14.60341
50	14.835049
51	15.229672
52	15.56154
53	16.284601
54	17.129276
55	18.128319
56	19.49983
57	20.760688
58	22.527454
59	24.613372
60	26.960243
61	29.421784
62	32.441502
63	35.728618
64	39.401452
65	43.437242
66	47.955954
67	52.829018
68	58.3605
69	63.982786
70	70.36918
71	76.729542
72	83.999838
73	91.891357
74	100.24687
75	108.69629
76	117.54658
77	127.35283
78	137.20807
79	147.51107
80	158.67825
81	170.51845
82	181.78206
83	193.53418
84	206.06518
85	218.59949
86	231.62596
87	244.3139
88	258.00044
89	272.39156
90	285.81288
91	299.7016
92	313.3497
93	326.49235
94	340.71608
95	353.92706
96	368.00476
97	380.70015
98	392.64418
99	405.25867
100	417.79675
101	428.5813
102	440.08754
103	450.69716
104	461.79817
105	472.62462
106	481.26259
107	489.22286
108	497.99746
109	504.29875
110	510.71248
111	516.6295
112	522.28726
113	529.34731
114	531.76326
115	534.55686
116	537.35263
117	539.90415
118	540.84506
119	541.38271
120	541.2009
121	539.85876
122	539.59251
123	536.88054
124	534.89362
125	532.46254
126	529.91692
127	526.74692
128	523.28907
129	517.19288
130	514.4197
131	509.36888
132	503.69311
133	498.80946
134	493.39542
135	487.96861
136	481.0969
137	475.68386
138	469.23315
139	462.80128
140	457.23436
141	452.13492
142	446.57554
143	440.77717
144	436.34477
145	431.31285
146	426.58765
147	423.44744
148	418.66804
149	413.23041
150	409.69587
151	406.00696
152	404.08338
153	400.83217
154	397.06091
155	395.63073
156	393.95215
157	391.43608
158	389.54364
159	387.96958
160	387.55027
161	386.53456
162	385.67528
163	385.83003
164	386.75776
165	387.83624
166	387.56338
167	388.35436
168	390.19074
169	391.33835
170	392.07655
171	395.23421
172	397.35206
173	399.42143
174	400.8102
175	404.02579
176	407.09124
177	409.588
178	413.0091
179	416.50051
180	420.24299
181	422.94312
182	426.24101
183	429.91309
184	433.7349
185	437.28042
186	441.24606
187	444.03981
188	447.28397
189	450.01918
190	454.73813
191	457.43053
192	460.53323
193	463.83693
194	466.57116
195	469.84979
196	471.42375
197	473.66791
198	477.34266
199	477.83372
200	479.76014
201	481.05178
202	482.33902
203	483.85241
204	485.03288
205	486.90933
206	484.94143
207	483.8653
208	484.9366
209	484.66738
210	483.04885
211	481.97011
212	480.33445
213	478.9433
214	476.54633
215	474.70461
216	472.37401
217	471.11336
218	468.28361
219	464.81596
220	462.2521
221	458.71421
222	454.94455
223	451.61637
224	449.13088
225	445.78291
226	441.66812
227	438.26033
228	434.52738
229	431.17457
230	428.05371
231	424.34099
232	421.61065
233	418.54221
234	414.94934
235	411.68662
236	409.14743
237	405.62357
238	403.52511
239	401.75266
240	399.31545
241	396.60151
242	395.04291
243	392.83953
244	392.47896
245	391.32294
246	389.12848
247	388.32964
248	388.25155
249	387.84195
250	388.43434
251	388.24632
252	388.20374
253	389.22825
254	390.27357
255	391.37568
256	392.59963
257	393.52364
258	396.51345
259	399.22935
260	401.32581
261	405.37345
262	408.33958
263	411.11608
264	417.48356
265	421.64602
266	426.47168
267	429.2841
268	434.64977
269	439.77365
270	446.01645
271	449.28238
272	455.99943
273	460.75232
274	464.62924
275	471.49092
276	478.41111
277	483.25022
278	487.42045
279	491.68723
280	498.66762
281	502.26234
282	507.6432
283	513.09765
284	519.68082
285	522.22755
286	525.99853
287	530.61301
288	533.31558
289	537.02035
290	540.51128
291	542.80018
292	543.62279
293	545.89489
294	547.31675
295	548.13942
296	548.30866
297	546.71731
298	545.66292
299	545.00736
300	542.61608
301	540.27422
302	539.37968
303	533.8441
304	529.52154
305	522.55529
306	517.22362
307	511.72487
308	504.80874
309	496.2067
310	486.82016
311	478.1847
312	468.66321
313	458.58989
314	447.19623
315	434.54535
316	422.13746
317	410.33906
318	397.63789
319	384.04395
320	371.29523
321	357.8896
322	342.08157
323	328.2599
324	314.04109
325	300.47464
326	285.31336
327	271.56276
328	258.38902
329	243.86045
330	229.46533
331	216.09805
332	203.01363
333	189.74184
334	178.27845
335	166.36438
336	154.35667
337	142.8061
338	132.44052
339	122.56295
340	112.70137
341	103.55536
342	95.108144
343	86.507705
344	79.017063
345	71.930336
346	65.908615
347	59.812943
348	53.730087
349	48.335196
350	43.742391
351	39.428869
352	35.367939
353	31.802612
354	29.178054
355	26.190065
356	23.792748
357	22.025239
358	20.293147
359	18.895173
360	17.985787
361	17.069449
362	16.344203
363	15.916498
364	15.643723
365	15.483303
366	15.591988
367	15.814534
368	16.069122
369	16.190996
370	16.510765
371	16.854074
372	17.157384
373	17.473537
374	17.750309
375	17.904538
376	18.059455
377	18.319602
378	18.350115
379	18.528456
380	18.706771
381	18.683912
382	18.736752
383	18.648253
384	18.637166
385	18.480259
386	18.320625
387	18.286404
