Abscissa	Profile 1
x	y
[]	[]
0	12.007659
1.0013717	12.03706
2.0027435	12.055277
3.0041152	12.030245
4.005487	11.963516
5.0068587	11.890704
6.0082305	11.991083
7.0096022	11.886917
8.0109739	11.809986
9.0123457	11.877061
10.013717	11.85383
11.015089	11.876417
12.016461	11.884369
13.017833	11.858872
14.019204	11.898825
15.020576	11.981678
16.021948	11.851676
17.02332	11.899513
18.024691	11.9247
19.026063	12.010445
20.027435	12.168054
21.028807	12.251255
22.030178	12.277301
23.03155	12.449299
24.032922	12.607137
25.034294	12.602223
26.035665	12.652414
27.037037	12.711292
28.038409	12.973018
29.039781	13.151581
30.041152	13.24528
31.042524	13.311476
32.043896	13.538782
33.045267	13.647491
34.046639	13.898209
35.048011	14.099004
36.049383	14.181515
37.050754	14.260553
38.052126	14.452462
39.053498	14.56219
40.05487	14.691693
41.056241	14.82153
42.057613	14.857289
43.058985	15.10226
44.060357	15.338549
45.061728	15.422862
46.0631	15.399419
47.064472	15.485873
48.065844	15.546546
49.067215	15.743029
50.068587	15.759313
51.069959	15.634559
52.071331	15.756786
53.072702	15.870741
54.074074	15.849425
55.075446	15.736201
56.076818	15.923063
57.078189	15.754962
58.079561	15.757087
59.080933	15.681377
60.082305	15.394889
61.083676	15.450316
62.085048	15.429512
63.08642	15.104473
64.087791	15.037807
65.089163	14.903935
66.090535	14.805518
67.091907	14.624663
68.093278	14.511952
69.09465	14.416856
70.096022	14.297311
71.097394	14.207201
72.098765	14.21627
73.100137	14.115392
74.101509	14.165474
75.102881	14.202955
76.104252	14.286345
77.105624	14.468418
78.106996	14.564691
79.108368	14.834727
80.109739	14.991798
81.111111	15.200102
82.112483	15.520451
83.113855	16.06793
84.115226	16.188853
85.116598	16.643179
86.11797	17.429253
87.119342	18.012843
88.120713	18.745589
89.122085	19.567482
90.123457	20.227058
91.124829	21.099417
92.1262	22.124015
93.127572	23.309711
94.128944	24.599584
95.130316	25.907385
96.131687	27.464109
97.133059	28.898988
98.134431	30.672934
99.135802	32.794113
100.13717	34.825173
101.13855	36.689228
102.13992	39.238096
103.14129	41.846056
