Abscissa	Profile 1
x	y
[]	[]
0	14.494965
1.0006139	14.557082
2.0012277	14.603353
3.0018416	14.619021
4.0024555	14.591326
5.0030694	14.516887
6.0036832	14.536356
7.0042971	14.45547
8.004911	14.438785
9.0055249	14.383193
10.006139	14.276935
11.006753	14.292576
12.007366	14.240826
13.00798	14.336376
14.008594	14.269334
15.009208	14.158896
16.009822	14.245792
17.010436	14.279376
18.01105	14.128547
19.011664	14.185507
20.012277	14.229676
21.012891	14.196722
22.013505	14.121534
23.014119	14.173078
24.014733	14.260946
25.015347	14.110978
26.015961	14.044076
27.016575	13.867899
28.017188	13.829387
29.017802	13.883267
30.018416	13.722475
31.01903	13.686084
32.019644	13.649504
33.020258	13.546331
34.020872	13.632076
35.021486	13.49205
36.022099	13.44396
37.022713	13.347079
38.023327	13.254142
39.023941	13.061493
40.024555	13.153588
41.025169	13.089431
42.025783	13.102773
43.026397	12.977318
44.02701	12.770584
45.027624	12.690296
46.028238	12.645238
47.028852	12.724356
48.029466	12.739335
49.03008	12.767654
50.030694	12.668528
51.031308	12.67672
52.031921	12.707111
53.032535	12.709974
54.033149	12.729049
55.033763	12.778961
56.034377	12.956578
57.034991	13.053973
58.035605	13.177923
59.036219	13.216627
60.036832	13.258837
61.037446	13.529953
62.03806	13.658746
63.038674	13.697765
64.039288	13.920918
65.039902	14.302322
66.040516	14.556962
67.04113	14.861228
68.041743	15.098718
69.042357	15.440314
70.042971	15.848846
71.043585	16.232027
72.044199	16.509359
73.044813	16.966248
74.045427	17.621661
75.046041	17.909165
76.046654	18.198494
77.047268	18.874393
78.047882	19.535378
79.048496	20.203861
80.04911	20.585868
81.049724	21.262797
82.050338	22.043068
83.050952	22.756168
84.051565	23.465434
85.052179	24.342531
86.052793	25.256436
87.053407	25.972461
88.054021	26.661733
89.054635	27.678363
90.055249	29.007838
91.055862	29.718868
92.056476	30.727741
93.05709	31.757089
94.057704	32.950303
95.058318	34.132211
96.058932	35.302029
97.059546	36.463882
98.06016	37.619584
99.060773	39.002082
100.06139	40.269478
101.062	41.248347
102.06262	42.688749
103.06323	44.267461
