Abscissa	Profile 1
x	y
[]	[]
0	12.023354
1	12.115575
2	12.199566
3	12.324185
4	12.328351
5	12.216422
6	12.02302
7	12.178418
8	12.222839
9	12.248051
10	12.323501
11	12.245832
12	12.182606
13	12.199955
14	12.055023
15	12.104199
16	12.269825
17	12.35658
18	12.344231
19	12.317841
20	12.303775
21	12.143417
22	12.065799
23	12.018117
24	12.339415
25	12.45465
26	12.520531
27	12.58488
28	12.368014
29	12.230689
30	12.14603
31	12.340358
32	12.547868
33	12.656157
34	12.792023
35	12.725701
36	12.404794
37	12.26685
38	12.15635
39	12.095261
40	11.939414
41	12.131845
42	12.290228
43	12.239512
44	12.308756
45	12.2505
46	12.163949
47	12.193746
48	12.34574
49	12.6672
50	12.852364
51	12.771148
52	12.913641
53	12.78571
54	12.773094
55	12.937997
56	13.32077
57	13.463
58	13.607715
59	13.808383
60	13.870257
61	13.872887
62	13.782376
63	13.930977
64	14.03729
65	14.241366
66	14.571425
67	14.691506
68	14.357789
69	14.215331
70	13.863069
71	13.720012
72	13.755663
73	13.981473
74	13.945356
75	13.734405
76	13.594651
77	13.264592
78	13.167132
79	13.474666
80	13.706701
81	14.011126
82	14.00614
83	14.154057
84	14.202898
85	14.423604
86	14.65667
87	15.237665
88	15.997947
89	16.900519
90	18.452227
91	19.953593
92	21.437911
93	23.668866
94	27.330475
95	31.951363
96	36.407705
97	41.540759
98	47.304785
99	52.617846
100	58.828159
101	66.659897
102	74.802073
103	81.630185
104	91.150165
105	104.40843
106	118.69247
107	135.55712
108	154.49406
109	172.68055
110	188.37565
111	207.66072
112	231.9956
113	257.63782
114	287.25319
115	324.13871
116	358.01016
117	388.90324
118	422.74107
119	456.78065
120	488.83914
121	523.58785
122	557.08177
123	583.4262
124	609.64233
125	634.93602
126	656.17827
127	676.7077
128	688.57986
129	687.34869
130	677.44782
131	664.91122
132	651.96322
133	628.67044
134	596.36017
135	558.71247
136	520.88032
137	485.41852
138	453.3566
139	422.93513
140	397.11816
141	380.06259
142	376.49586
143	384.02174
144	398.46149
145	419.83057
146	445.57034
147	474.62006
148	502.20488
149	528.09163
