N	f/[kHz]	V/[dBV]
0	0.0153	-19.4
1	0.0458	-15.3
2	0.0763	-2.8
3	0.1068	-2.8
4	0.1373	-6.2
5	0.1678	-29.5
6	0.1984	-53.9
7	0.2289	-53.9
8	0.2594	-53.9
9	0.2899	-54.2
10	0.3204	-54.9
11	0.3510	-55.5
12	0.3815	-54.9
13	0.4120	-54.9
14	0.4425	-60.5
15	0.4730	-60.5
16	0.5035	-57.1
17	0.5341	-57.1
18	0.5646	-64.6
19	0.5951	-59.6
20	0.6256	-59.6
21	0.6561	-63.6
22	0.6866	-58.9
23	0.7172	-58.9
24	0.7477	-67.7
25	0.7782	-61.5
26	0.8087	-61.5
27	0.8392	-64.0
28	0.8698	-64.0
29	0.9003	-61.5
30	0.9308	-61.5
31	0.9613	-69.3
32	0.9918	-59.9
33	1.0223	-59.9
34	1.0529	-69.9
35	1.0834	-69.9
36	1.1139	-64.0
37	1.1444	-64.0
38	1.1749	-58.6
39	1.2054	-58.6
40	1.2360	-64.6
41	1.2665	-65.8
42	1.2970	-64.6
43	1.3275	-64.6
44	1.3580	-70.2
45	1.3885	-70.2
46	1.4191	-78.4
47	1.4496	-72.7
48	1.4801	-67.4
49	1.5106	-67.4
50	1.5411	-67.7
51	1.5717	-67.7
52	1.6022	-63.3
53	1.6327	-63.3
54	1.6632	-71.5
55	1.6937	-69.3
56	1.7242	-69.3
57	1.7548	-65.8
58	1.7853	-65.8
59	1.8158	-66.2
60	1.8463	-66.2
61	1.8768	-77.1
62	1.9073	-69.0
63	1.9379	-60.8
64	1.9684	-42.3
65	1.9989	-41.4
66	2.0294	-41.4
67	2.0599	-58.6
68	2.0905	-56.7
69	2.1210	-56.7
70	2.1515	-71.2
71	2.1820	-71.2
72	2.2125	-69.0
73	2.2430	-69.0
74	2.2736	-65.2
75	2.3041	-65.2
76	2.3346	-71.8
77	2.3651	-50.8
78	2.3956	-48.3
79	2.4261	-48.3
80	2.4567	-65.2
81	2.4872	-67.1
82	2.5177	-67.1
83	2.5482	-64.6
84	2.5787	-53.9
85	2.6093	-53.9
86	2.6398	-56.4
87	2.6703	-65.8
88	2.7008	-65.8
89	2.7313	-67.4
90	2.7618	-68.4
91	2.7924	-68.7
92	2.8229	-68.7
93	2.8534	-69.0
94	2.8839	-69.3
95	2.9144	-69.3
96	2.9449	-69.9
97	2.9755	-65.5
98	3.0060	-65.5
99	3.0365	-71.2
100	3.0670	-61.5
101	3.0975	-60.8
102	3.1281	-60.8
103	3.1586	-64.3
104	3.1891	-58.3
105	3.2196	-58.3
106	3.2501	-61.1
107	3.2806	-58.6
108	3.3112	-58.6
109	3.3417	-62.7
110	3.3722	-52.7
111	3.4027	-52.7
112	3.4332	-56.1
113	3.4637	-56.1
114	3.4943	-53.0
115	3.5248	-53.0
116	3.5553	-15.3
117	3.5858	-8.4
118	3.6163	-8.4
119	3.6469	-16.3
120	3.6774	-51.4
121	3.7079	-51.4
122	3.7384	-55.2
123	3.7689	-68.0
124	3.7994	-57.4
125	3.8300	-57.4
126	3.8605	-69.3
127	3.8910	-64.0
128	3.9215	-64.0
129	3.9520	-55.8
130	3.9825	-48.3
131	4.0131	-48.3
132	4.0436	-52.4
133	4.0741	-58.3
134	4.1046	-58.3
135	4.1351	-61.8
136	4.1656	-60.5
137	4.1962	-59.6
138	4.2267	-59.6
139	4.2572	-61.8
140	4.2877	-65.8
141	4.3182	-65.8
142	4.3488	-66.8
143	4.3793	-64.0
144	4.4098	-64.0
145	4.4403	-67.1
146	4.4708	-65.5
147	4.5013	-59.3
148	4.5319	-59.3
149	4.5624	-65.2
150	4.5929	-60.5
151	4.6234	-60.5
152	4.6539	-63.3
153	4.6844	-63.3
154	4.7150	-63.6
155	4.7455	-66.5
156	4.7760	-53.9
157	4.8065	-53.9
158	4.8370	-58.0
159	4.8676	-69.6
160	4.8981	-63.3
161	4.9286	-63.3
162	4.9591	-72.1
163	4.9896	-72.1
164	5.0201	-73.1
165	5.0507	-69.0
166	5.0812	-60.2
167	5.1117	-60.2
168	5.1422	-65.2
169	5.1727	-67.1
170	5.2032	-62.1
171	5.2338	-62.1
172	5.2643	-66.5
173	5.2948	-66.5
174	5.3253	-70.2
175	5.3558	-64.3
176	5.3864	-60.5
177	5.4169	-60.5
178	5.4474	-71.8
179	5.4779	-71.5
180	5.5084	-71.5
181	5.5389	-67.7
182	5.5695	-63.6
183	5.6000	-63.6
184	5.6305	-65.5
185	5.6610	-64.3
186	5.6915	-61.5
187	5.7220	-61.5
188	5.7526	-66.8
189	5.7831	-63.0
190	5.8136	-63.0
191	5.8441	-69.0
192	5.8746	-59.9
193	5.9052	-59.9
194	5.9357	-63.6
195	5.9662	-61.8
196	5.9967	-61.8
197	6.0272	-64.6
198	6.0577	-69.6
199	6.0883	-62.1
200	6.1188	-62.1
201	6.1493	-72.1
202	6.1798	-64.0
203	6.2103	-64.0
204	6.2408	-64.9
205	6.2714	-62.1
206	6.3019	-60.2
207	6.3324	-60.2
208	6.3629	-74.0
209	6.3934	-62.4
210	6.4240	-62.4
211	6.4545	-68.4
212	6.4850	-62.1
213	6.5155	-62.1
214	6.5460	-68.0
215	6.5765	-61.5
216	6.6071	-61.5
217	6.6376	-70.5
218	6.6681	-64.6
219	6.6986	-64.6
220	6.7291	-74.3
221	6.7596	-70.2
222	6.7902	-70.2
223	6.8207	-66.2
224	6.8512	-66.2
225	6.8817	-66.2
226	6.9122	-66.2
227	6.9427	-66.2
228	6.9733	-61.5
229	7.0038	-61.5
230	7.0343	-61.5
231	7.0648	-64.3
232	7.0953	-60.8
233	7.1259	-60.8
234	7.1564	-68.0
235	7.1869	-56.7
236	7.2174	-56.7
237	7.2479	-63.0
238	7.2784	-63.0
239	7.3090	-61.1
240	7.3395	-61.1
241	7.3700	-57.1
242	7.4005	-57.1
243	7.4310	-61.1
244	7.4615	-60.2
245	7.4921	-60.2
246	7.5226	-61.5
247	7.5531	-61.5
248	7.5836	-54.9
249	7.6141	-54.9
250	7.6447	-66.8
251	7.6752	-58.6
252	7.7057	-58.6
253	7.7362	-58.9
254	7.7667	-58.9
255	7.7972	-48.9
256	7.8278	-48.9
257	7.8583	-50.8
258	7.8888	-46.4
259	7.9193	-46.4
260	7.9498	-18.8
261	7.9803	-8.7
262	8.0109	-8.7
263	8.0414	-14.1
264	8.0719	-44.5
265	8.1024	-46.1
266	8.1329	-47.6
267	8.1635	-50.5
268	8.1940	-50.5
269	8.2245	-53.6
270	8.2550	-56.7
271	8.2855	-50.8
272	8.3160	-50.8
273	8.3466	-59.6
274	8.3771	-47.6
275	8.4076	-47.6
276	8.4381	-52.7
277	8.4686	-61.1
278	8.4991	-61.5
279	8.5297	-61.5
280	8.5602	-49.5
281	8.5907	-43.6
282	8.6212	-43.6
283	8.6517	-57.1
284	8.6823	-69.0
285	8.7128	-64.3
286	8.7433	-64.3
287	8.7738	-64.9
288	8.8043	-61.8
289	8.8348	-61.8
290	8.8654	-64.6
291	8.8959	-64.6
292	8.9264	-65.8
293	8.9569	-62.1
294	8.9874	-57.7
295	9.0179	-57.7
296	9.0485	-64.3
297	9.0790	-57.1
298	9.1095	-57.1
299	9.1400	-60.2
300	9.1705	-64.6
301	9.2010	-63.6
302	9.2316	-63.6
303	9.2621	-66.5
304	9.2926	-61.5
305	9.3231	-61.5
306	9.3536	-67.7
307	9.3842	-62.1
308	9.4147	-62.1
309	9.4452	-70.2
310	9.4757	-63.0
311	9.5062	-63.0
312	9.5367	-64.6
313	9.5673	-49.8
314	9.5978	-48.6
315	9.6283	-48.6
316	9.6588	-62.4
317	9.6893	-66.8
318	9.7198	-66.8
319	9.7504	-69.6
320	9.7809	-66.5
321	9.8114	-66.5
322	9.8419	-68.7
323	9.8724	-66.5
324	9.9030	-66.5
