Parameter:
Anzahl Messungen: 2000
Torzeit in Sekunden: 0.5
Zerfälle pro Torzeit,  Gemessene Anzahl an Ereignissen
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.0
45, 1.0
46, 0.0
47, 0.0
48, 0.0
49, 2.0
50, 3.0
51, 4.0
52, 4.0
53, 7.0
54, 5.0
55, 10.0
56, 8.0
57, 25.0
58, 17.0
59, 30.0
60, 35.0
61, 41.0
62, 39.0
63, 55.0
64, 60.0
65, 72.0
66, 66.0
67, 91.0
68, 87.0
69, 94.0
70, 94.0
71, 89.0
72, 97.0
73, 108.0
74, 80.0
75, 100.0
76, 76.0
77, 88.0
78, 73.0
79, 59.0
80, 54.0
81, 56.0
82, 50.0
83, 32.0
84, 28.0
85, 34.0
86, 25.0
87, 24.0
88, 15.0
89, 14.0
90, 10.0
91, 11.0
92, 9.0
93, 4.0
94, 1.0
95, 1.0
96, 3.0
97, 3.0
98, 2.0
99, 0.0
100, 1.0
101, 1.0
102, 1.0
103, 1.0
104, 0.0
105, 0.0
106, 0.0
107, 0.0
108, 0.0
109, 0.0
110, 0.0
