Parameter:
Anzahl Messungen: 40
Torzeit in Sekunden: 10.0
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 95.0
10.0, 85.0
20.0, 51.0
30.0, 49.0
40.0, 47.0
50.0, 42.0
60.0, 22.0
70.0, 23.0
80.0, 22.0
90.0, 15.0
100.0, 9.0
110.0, 11.0
120.0, 20.0
130.0, 17.0
140.0, 16.0
150.0, 15.0
160.0, 16.0
170.0, 9.0
180.0, 23.0
190.0, 8.0
200.0, 5.0
210.0, 11.0
220.0, 6.0
230.0, 12.0
240.0, 4.0
250.0, 4.0
260.0, 6.0
270.0, 7.0
280.0, 9.0
290.0, 8.0
300.0, 9.0
310.0, 9.0
320.0, 5.0
330.0, 5.0
340.0, 5.0
350.0, 6.0
360.0, 3.0
370.0, 8.0
380.0, 10.0
390.0, 4.0
