Parameter:
Anzahl Messungen: 48
Torzeit in Sekunden: 10.0
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 4.0
10.0, 3.0
20.0, 4.0
30.0, 4.0
40.0, 9.0
50.0, 1.0
60.0, 3.0
70.0, 5.0
80.0, 4.0
90.0, 2.0
100.0, 5.0
110.0, 4.0
120.0, 3.0
130.0, 4.0
140.0, 3.0
150.0, 7.0
160.0, 2.0
170.0, 3.0
180.0, 4.0
190.0, 3.0
200.0, 7.0
210.0, 8.0
220.0, 4.0
230.0, 2.0
240.0, 8.0
250.0, 5.0
260.0, 6.0
270.0, 4.0
280.0, 1.0
290.0, 5.0
300.0, 2.0
310.0, 7.0
320.0, 2.0
330.0, 4.0
340.0, 2.0
350.0, 3.0
360.0, 2.0
370.0, 5.0
380.0, 5.0
390.0, 6.0
400.0, 0.0
410.0, 3.0
420.0, 3.0
430.0, 5.0
440.0, 4.0
450.0, 1.0
460.0, 2.0
470.0, 4.0
